,slang,formal
2164,ngomong,mengomong
2165,betul2,betul-betul
2166,jauhin,jauhi
2167,dateng,datang
2168,ngomong,mengomong
2169,adiik,adik
2170,manisss,manis
2171,ngerti,mengerti
2172,"besar""",besar-besar
2173,"masing""",masing-masing
2174,aja,saja
2175,"masing""",masing-masing
2176,yaaa,ya
2177,nyoba,mencoba
2178,wihh,wih
2179,beneran,benaran
2180,yg,yang
2181,ddlm,di dalam
2182,smua,semua
2183,kmbali,kembali
2184,pd,pada
2185,d,di
2186,kmu,kamu
2187,gk,enggak
2188,kmu,kamu
2189,gk,enggak
2190,dkuburnya,dikuburnya
2191,fi,di
2192,indo,indonesia
2193,sm,sama
2194,ttg,tentang
2195,masing2,masing-masing
2196,kyk,kayak
2197,kl,kalo
2198,rata2,rata-rata
2199,lbih,lebih
2200,byk,banyak
2201,critamu,ceritamu
2202,kw,kau
2203,ja,saja
2204,dl,dulu
2205,tu,itu
2206,kl,kalo
2207,dh,dah
2208,bres,beres
2209,cmkn,camkan
2210,tu,itu
2211,gk,enggak
2212,diurusin,diurusi
2213,keles,kali
2214,yg,yang
2215,biarin,biarkan
2216,aja,saja
2217,ntar,entar
2218,utk,untuk
2219,utk,untuk
2220,gk,enggak
2221,gk,enggak
2222,kk,kakak
2223,kale,kali
2224,klo,kalo
2225,ngomong,mengomong
2226,elo,lo
2227,ngerasa,merasa
2228,bener,benar
2229,ga,enggak
2230,donks,dong
2231,ga,enggak
2232,kn,kan
2233,keles,kali
2234,smoga,semoga
2235,kmu,kamu
2236,jngan,jangan
2237,"membanding""",membanding-banding
2238,gk,enggak
2239,kmi,kami
2240,mengperbolehkan,memperbolehkan
2241,gk,enggak
2242,krena,karena
2243,ngri,negeri
2244,"dingin""",dingin-dingin
2245,kn,kan
2246,lma,lama
2247,dibangga'in,dibangga-banggakan
2248,ngajak,mengajak
2249,ngebolehin,membolehkan
2250,dapet,dapat
2251,gak,enggak
2252,denger,dengar
2253,dlu,dulu
2254,"jelek""in",menjelek-jelekkan
2255,stiap,setiap
2256,org,orang
2257,gausa,enggak usah
2258,maksain,memaksakan
2259,klo,kalo
2260,km,kamu
2261,buktiin,buktikan
2262,smog,semoga
